,0,1,2,domain
178,0,0,1,lectures.quantecon.org
179,0,0,1,isdsblog.com
180,0,0,1,vimeo.com
181,1,1,1,www.aljazeera.com
182,0,2,1,www.imdb.com
183,0,0,1,www.anorak.co.uk
184,0,0,1,articles.latimes.com
185,1,0,0,www.alaraby.co.uk
186,0,1,0,www.amazon.co.uk
187,0,0,1,www.quotidiano.net
188,1,5,3,www.forbes.com
189,0,2,0,www.manufacturing.net
190,0,1,0,www.usmissionbrazil.org
191,1,0,0,iranprimer.usip.org
192,0,0,1,www.loc.gov
193,0,1,0,modernfarmer.com
194,0,0,1,www.jetforums.net
195,5,4,2,github.com
196,0,1,0,europe.newsweek.com
197,0,1,1,www.sueddeutsche.de
198,0,1,0,whatisnuclear.com
199,1,2,0,www.craigmurray.org.uk
200,0,1,0,solargis.com
201,0,2,0,www.thenewamerican.com
202,0,1,0,inews.co.uk
203,0,0,1,www.psychologytoday.com
204,0,1,1,www.nature.com
205,0,0,1,www.radiotimes.com
206,1,0,0,dailycaller.com
207,0,1,0,kingencyclopedia.stanford.edu
208,1,2,1,www.businessinsider.com
209,0,1,0,carnegieendowment.org
210,0,1,0,m.xkcd.com
211,1,0,0,www.radionz.co.nz
212,0,0,1,people.uncw.edu
213,0,1,0,www.sott.net
214,0,1,0,www.ratp.fr
215,1,0,8,theintercept.com
216,1,0,0,in.reuters.com
217,2,1,1,www.newsweek.com
218,1,0,0,yourlogicalfallacyis.com
219,0,2,1,www.cnn.com
220,0,0,1,nuclearsecrecy.com
221,1,0,1,www.google.ca
222,1,0,0,books.google.com
223,0,1,0,www.greatbarrierreef.com.au
224,0,1,0,deadstate.org
225,0,1,0,www.nbcnews.com
226,0,1,2,time.com
227,0,1,0,www.justice.gov
228,1,0,1,scrolldownandread.blogspot.com
229,1,0,0,www.aarp.org
230,1,0,0,www.support-julian-assange.com
231,0,1,0,g.fool.com
232,0,0,1,www.reactiongifs.us
233,0,1,0,lawnewz.com
234,1,0,0,www.btselem.org
235,0,0,1,news.ltn.com.tw
236,0,0,2,www.tagesschau.de
237,0,1,1,themoscowtimes.com
238,0,1,0,axleaddict.com
239,1,1,0,www.merriam-webster.com
240,0,1,0,www.academia.edu
241,1,0,0,www.stern.de
242,0,0,1,www.globalfirepower.com
243,0,0,2,thediplomat.com
244,1,0,0,weknowmemes.com
245,0,0,1,foreignpolicy.com
246,1,0,0,islamqa.info
247,1,0,4,gizmodo.com
248,0,0,1,reactiongif.org
249,0,0,1,en.reporter-ua.ru
250,0,0,3,ren.tv
251,0,1,0,www.allgemeine-zeitung.de
252,0,0,1,psychcentral.com
253,1,0,0,1.bp.blogspot.com
254,0,3,0,en.wiktionary.org
255,0,1,1,www.globalresearch.ca
256,0,0,1,www.logicallyfallacious.com
257,5,2,7,www.washingtonpost.com
258,0,0,1,www.usatoday.com
259,0,0,2,www.faz.net
260,1,0,0,twitchy.com
261,1,0,0,www.britannica.com
262,0,2,0,www.americanthinker.com
263,0,3,0,www.bmj.com
264,0,1,0,m.motherjones.com
265,0,0,1,www.skynews.com.au
266,0,1,0,sportsbuzz.info
267,0,1,0,c1cleantechnicacom-wpengine.netdna-ssl.com
268,0,1,0,video.nationalgeographic.com
269,0,0,1,www.koreatimes.co.kr
270,0,1,0,www.world-nuclear.org
271,0,1,0,www.edf.org
272,0,0,1,ic.pics.livejournal.com
273,0,1,0,euobserver.com
274,1,0,0,www.rightwingwatch.org
275,0,5,0,www.breitbart.com
276,0,0,1,www.hrw.org
277,1,0,1,abcnews.go.com
278,4,17,3,www.theguardian.com
279,0,0,1,www.eurasianet.org
280,0,0,1,www.transport.wa.gov.au
281,0,0,1,m.washingtontimes.com
282,0,1,0,news.stanford.edu
283,0,0,1,davinasquirrel.wordpress.com
284,0,0,1,www.zoominfo.com
285,0,0,1,www.hln.be
286,0,0,1,is.4chan.org
287,1,0,0,digitalpaper.stdaily.com
288,1,0,0,www.why4news.com
289,0,0,1,study.com
290,2,0,3,news.google.com
291,0,1,0,www.ecowatch.com
292,0,1,0,www.yorkshireeveningpost.co.uk
293,0,0,1,media2.intoday.in
294,6,18,17,en.m.wikipedia.org
295,0,0,1,www.darksunbrightmoon.com)
296,1,0,0,en.mercopress.com
297,0,1,0,www.cfr.org
298,1,2,0,www.facebook.com
299,1,0,0,www.npr.org
300,0,0,2,www.aic.gov.au
301,0,1,0,onlinelibrary.wiley.com
302,0,2,0,mobile.abc.net.au
303,0,0,1,fortune.com
304,0,0,1,content.gallup.com
305,0,0,3,www.amazon.com
306,1,1,0,www.google.com.au
307,0,1,0,www.theroyalforums.com
308,0,1,0,pirateparty.org.au
309,2,2,7,upload.wikimedia.org
310,0,2,0,cambodiaexpatsonline.com
311,1,0,0,ireport.cnn.com
312,0,0,1,www.cna.com.tw
313,0,0,1,www.ft.com
314,0,0,1,dejure.org
315,0,0,1,www.hks.harvard.edu
316,0,0,1,www.newstatesman.com
317,1,0,0,www.thecollegefix.com
318,0,0,1,www.cps.gov.uk
319,0,0,1,www.nknews.org
320,0,0,1,m.popkey.co
321,2,4,2,chrome.google.com
322,1,3,4,www.abc.net.au
323,0,0,1,www.businessinsider.com.au
324,4,11,5,www.mirror.co.uk
325,0,0,1,vignette4.wikia.nocookie.net
326,0,1,0,www.cbc.ca
327,0,0,2,www.standard.co.uk
328,1,1,0,www.latimes.com
329,1,0,4,wikileaks.org
330,0,0,1,www.gallup.com
331,1,0,0,www.1728.org
332,0,0,1,www.thegatewaypundit.com
333,0,1,0,www.princeton.edu
334,0,1,0,www.wikileaks.org
335,1,0,0,www.foxnews.com
336,0,3,0,www.spiegel.de
337,0,1,0,www.globalwarming.org
338,1,0,0,marine-conservation.org
339,0,0,1,wpmedia.news.nationalpost.com
340,1,0,0,www.judiciary.gov.uk
341,0,1,0,xkcd.com
342,0,1,1,www.dni.gov
343,0,0,1,www.theglobeandmail.com
344,0,1,0,gfds.de
345,2,1,1,en.mogaznews.com
346,0,0,1,thelibertarianrepublic.com
347,0,0,1,www.praguemorning.cz
348,0,1,0,en.mediamass.net
349,0,1,0,blogs.wsj.com
350,0,3,0,www.eia.gov
351,1,0,0,sputniknews.com
352,0,1,0,nces.ed.gov
353,0,2,0,www.expressen.se
354,0,0,1,www.golem.de
355,1,2,2,www.google.co.uk
356,0,0,1,www.opec.org
357,0,0,1,mobile.reuters.com
358,0,1,0,www.channel4.com
359,0,1,0,uk.reuters.com
360,1,0,0,www.quora.com
361,0,1,0,www.seatemperature.org
362,0,1,0,www.mopo.de
363,0,0,1,davidcard.berkeley.edu
364,1,0,0,www.quackwatch.org
365,0,2,0,www.thejournal.ie
366,5,7,7,www.nytimes.com
367,0,0,1,translate.google.com
368,0,1,0,www.wrcnrv.org
369,1,0,1,www.counterpunch.org
370,0,1,0,www.newsjs.com
371,0,0,1,www.elsevier.nl
372,1,2,0,www.slate.com
373,0,0,1,twilightpines.com
374,0,1,1,www.msn.com
375,1,0,0,europe.theoildrum.com
376,1,1,0,www.theatlantic.com
377,0,0,1,www.amazon.in
378,0,0,2,www.politico.com
379,0,0,1,www.ohchr.org
380,0,0,1,www.mcclatchydc.com
381,0,6,9,www.bbc.com
382,0,0,1,mobile.twitter.com
383,0,0,2,www.dailytelegraph.com.au
384,0,0,3,www.ruhrnachrichten.de
385,0,1,0,d.europe.newsweek.com
386,0,1,0,www.markchirnside.co.uk
387,0,1,0,lesswrong.com
388,0,1,0,xkcdref.info
389,1,0,0,neurocritic.blogspot.co.uk
390,0,0,8,www.tradingeconomics.com
391,0,0,1,CashForInvite.com
392,0,0,1,www.theregister.co.uk
393,0,1,0,www.aph.gov.au
394,0,1,0,www.naturalnews.com
395,0,1,2,www.wsj.com
396,0,1,0,www.anthropocene.info
397,0,1,0,data.worldbank.org
398,0,0,1,theatlantic.com
399,35,37,28,www.dailymail.co.uk
400,0,2,1,climate.nasa.gov
401,0,2,0,wanganjagalingou.com.au
