,views,start_date,end_date,wiki,gender,imagecount,url,peopleID,genderNames,occupationNames,ethnicity,religion,citizenshipNames,position,birthplace,birthCountry,birthContinent,occupationType,locationIDs,zhwiki,enwiki,hiwiki,eswiki,ruwiki,arwiki,ptwiki,bnwiki,frwiki,idwiki,quality_zhwiki,quality_enwiki,quality_hiwiki,quality_eswiki,quality_ruwiki,quality_arwiki,quality_ptwiki,quality_bnwiki,quality_frwiki,quality_idwiki,numLangPage,pageID_zhwiki,pageID_enwiki,pageID_hiwiki,pageID_eswiki,pageID_ruwiki,pageID_arwiki,pageID_ptwiki,pageID_bnwiki,pageID_frwiki,pageID_idwiki,pageLength_zhwiki,pageLength_enwiki,pageLength_hiwiki,pageLength_eswiki,pageLength_ruwiki,pageLength_arwiki,pageLength_ptwiki,pageLength_bnwiki,pageLength_frwiki,pageLength_idwiki,pageQuality_enwiki,pageQuality_zhwiki,pageQuality_hiwiki,pageQuality_eswiki,pageQuality_ruwiki,pageQuality_arwiki,pageQuality_ptwiki,pageQuality_bnwiki,pageQuality_frwiki,pageQuality_idwiki,views_2022010100,views_2022020100,views_2022030100,views_2022040100,views_2022050100,log1p_views,any_image,log1p_pageLength_enwiki,log1p_views_2022040100,log1p_views_2022010100,log1p_views_2022050100,log1p_views_2022020100,log1p_views_2022030100
2833,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Charlotte_Lennox%2C_Duchess_of_Richmond/monthly/20220101/20220601,Q760696,female,NA,NA,NA,Scotland,NA,Gordon Castle,United Kingdom,Europe,NA,Q11838964,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.6905026,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,37714702,-1,-1,-1,-1,-1,-1,-1,-1,-1,6335,-1,-1,-1,-1,-1,-1,-1,-1,0.9092953,-1,-1,-1,-1,-1,-1,-1,-1,-1,1581.0,1243.0,1352.0,1345.0,1317.0,,True,8.754002933494261,7.204892510204673,7.366445148327599,7.183870715062453,7.126087273299125,7.210079628170788
2834,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Mary_Kingsley/monthly/20220101/20220601,Q235525,female,explorer,NA,NA,United Kingdom of Great Britain and Ireland,NA,Islington,United Kingdom,Europe,Other,Q125163,-1,1,-1,1,1,4,2,-1,1,-1,NA,0.008383314,NA,0.0012805907,0.008383314,0.034200146675,0.042479579,NA,0.0140727265,NA,30,-1,1051149,-1,1106186,3237919,1687909,2696810,-1,1454573,-1,-1,24584,-1,5156,10946,3017,12673,-1,36987,-1,0.9978012,-1,-1,0.33012536,0.48821276,0.32581288,0.98966056,-1,1,-1,2034.0,2076.0,2386.0,1789.0,1978.0,,True,10.10989177984604,7.489970898834801,7.618251097876695,7.590346945602565,7.638679823876112,7.77779262633883
2835,,20220101,20220601,en,female,2,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Sarah_Joseph_%28author%29/monthly/20220101/20220601,Q7422467,female,writer,NA,NA,India,NA,NA,NA,NA,Arts,NA,-1,2,1,-1,-1,1,-1,1,-1,-1,NA,0.4816851,NA,NA,NA,0.9032574,NA,0.9032574,NA,NA,8,-1,26626142,746242,-1,-1,5609070,-1,724618,-1,-1,-1,11923,2933,-1,-1,3452,-1,19549,-1,-1,0.979494,-1,0.323039,-1,-1,0.5238161,-1,0.9746025,-1,-1,2891.0,2091.0,1982.0,1358.0,1518.0,,True,9.386308454797962,7.214504414151143,7.969703583278656,7.325807502595773,7.645875825184813,7.592366128519796
2836,,20220101,20220601,en,female,2,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Jenny_Leong/monthly/20220101/20220601,Q19875164,female,politician,NA,NA,Australia,Member of the New South Wales Legislative Assembly,Adelaide,Australia,Oceania,Government,Q5112,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.3191175,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,46250372,-1,-1,-1,-1,-1,-1,-1,-1,-1,4766,-1,-1,-1,-1,-1,-1,-1,-1,0.705096,-1,-1,-1,-1,-1,-1,-1,-1,-1,345.0,583.0,539.0,512.0,1097.0,,True,8.469472455204826,6.240275845170769,5.846438775057725,7.001245622069476,6.369900982828227,6.29156913955832
2837,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Racheltjie_de_Beer/monthly/20220101/20220601,Q2092938,female,NA,NA,NA,South Africa,NA,NA,NA,NA,NA,NA,-1,1,-1,1,1,-1,-1,-1,-1,-1,NA,0.2285085,NA,0.2285085,0.2285085,NA,NA,NA,NA,NA,6,-1,4839171,-1,7586546,7500987,-1,-1,-1,-1,-1,-1,5181,-1,4017,5415,-1,-1,-1,-1,-1,0.7524081,-1,-1,0.8054519,0.6052433,-1,-1,-1,-1,-1,1025.0,1050.0,834.0,1356.0,1272.0,,True,8.552946361122055,7.213031659834869,6.933423025730715,7.149131598557407,6.957497370876951,6.727431724850855
2838,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Grete_L._Bibring/monthly/20220101/20220601,Q5607729,female,physician,NA,NA,Austria,NA,Vienna,Austria,Europe,Science & Technology,Q1741,-1,1,-1,1,-1,-1,-1,-1,1,-1,NA,0.000278636,NA,0.000278636,NA,NA,NA,NA,0.000278636,NA,5,-1,37930959,-1,8347006,-1,-1,-1,-1,12250072,-1,-1,12085,-1,4066,-1,-1,-1,-1,9188,-1,0.9708354,-1,-1,0.5153663,-1,-1,-1,-1,0.9766574,-1,137.0,132.0,118.0,115.0,86.0,,True,9.399803036921504,4.7535901911063645,4.927253685157205,4.465908118654584,4.890349128221754,4.77912349311153
2839,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Sarah_Hunter/monthly/20220101/20220601,Q3473360,female,rugby union player,NA,NA,United Kingdom,NA,Newcastle upon Tyne,United Kingdom,Europe,Sports,Q1425428,-1,1,-1,1,-1,1,-1,-1,1,-1,NA,0.1767624,NA,0.1767624,NA,0.1767624,NA,NA,0.1767624,NA,6,-1,43403319,-1,7837071,-1,6214821,-1,-1,2747810,-1,-1,5403,-1,4642,-1,2270,-1,-1,9596,-1,0.9564695,-1,-1,0.767802,-1,0.4158029,-1,-1,0.9777745,-1,1551.0,1941.0,2691.0,6709.0,2430.0,,True,8.59489469908009,8.811354229965728,7.347299700743164,7.796057974316123,7.571473648851271,7.898039690764619
2840,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Eva_Moore/monthly/20220101/20220601,Q5415133,female,actor,NA,NA,United Kingdom,NA,Brighton,United Kingdom,Europe,Arts,Q131491,-1,1,-1,1,-1,1,-1,-1,3,-1,NA,0.008981201,NA,0.008981201,NA,0.008981201,NA,NA,0.01008748,NA,7,-1,837774,-1,3965424,-1,5036919,-1,-1,10980134,-1,-1,7126,-1,5060,-1,1712,-1,-1,9945,-1,0.8692719,-1,-1,0.4780379,-1,0.3592572,-1,-1,0.541293,-1,668.0,605.0,622.0,999.0,783.0,,True,8.871645667501872,6.907755278982137,6.505784060128229,6.664409020350408,6.406879986069314,6.434546518787453
2841,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Diana_Karenne/monthly/20220101/20220601,Q453419,female,film director,NA,NA,Russian Empire,NA,Kyiv,Ukraine,Europe,Arts,Q1899,-1,1,-1,-1,-1,-1,-1,-1,1,-1,NA,0.02055416,NA,NA,NA,NA,NA,NA,0.02055416,NA,10,-1,31016646,-1,-1,-1,-1,-1,-1,372422,-1,-1,2616,-1,-1,-1,-1,-1,-1,5178,-1,0.4499226,-1,-1,-1,-1,-1,-1,-1,0.4277132,-1,73.0,84.0,74.0,68.0,57.0,,True,7.869783902530146,4.23410650459726,4.30406509320417,4.060443010546419,4.442651256490317,4.31748811353631
2842,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/In%C3%A8s_Granvorka/monthly/20220101/20220601,Q15613356,female,volleyball player,NA,NA,Switzerland,NA,Morges,Switzerland,Europe,Sports,Q69401,-1,1,-1,1,-1,-1,-1,-1,1,-1,NA,0.4574501,NA,0.4574501,NA,NA,NA,NA,0.4574501,NA,6,-1,57425753,-1,7255603,-1,-1,-1,-1,7664868,-1,-1,2328,-1,2110,-1,-1,-1,-1,4112,-1,0.3983726,-1,-1,0.3073573,-1,-1,-1,-1,0.4699873,-1,28.0,26.0,21.0,19.0,28.0,,True,7.753194269884341,2.995732273553991,3.367295829986474,3.367295829986474,3.295836866004329,3.091042453358316
2843,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Mich%C3%A8le_Lamont/monthly/20220101/20220601,Q3311640,female,sociologist,NA,NA,Canada,NA,Toronto,Canada,North America,Science & Technology,Q172,-1,1,-1,-1,-1,1,1,-1,1,-1,NA,0.3165722,NA,NA,NA,0.3165722,0.3165722,NA,0.3165722,NA,8,-1,20300768,-1,-1,-1,6213075,5279523,-1,4702496,-1,-1,14379,-1,-1,-1,2444,6133,-1,2993,-1,0.9752485,-1,-1,-1,-1,0.4666166,0.7706362,-1,0.5104221,-1,401.0,770.0,473.0,353.0,346.0,,True,9.573593631275038,5.869296913133774,5.996452088619021,5.849324779946859,6.647688373563329,6.161207321695077
2844,,20220101,20220601,en,female,1,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Aisuluu_Tynybekova/monthly/20220101/20220601,Q4699222,female,amateur wrestler,NA,NA,Kyrgyzstan,NA,Mailuu-Suu,Kyrgyzstan,Asia,Sports,Q1355846,-1,1,-1,1,1,-1,-1,-1,2,-1,NA,0.6048904,NA,0.6048904,0.6048904,NA,NA,NA,0.7353776,NA,15,-1,36773286,-1,7292602,7606332,-1,-1,-1,11064836,-1,-1,14611,-1,3389,6896,-1,-1,-1,4269,-1,0.9848515,-1,-1,0.3708435,0.332495,-1,-1,-1,0.6167505,-1,351.0,470.0,315.0,810.0,340.0,,True,9.589598387915172,6.698268054115413,5.863631175598097,5.831882477283517,6.154858094016418,5.755742213586912
